postal_code,type,city_en
61262,POST_OFFICE,Baranankattuwa
82110,POST_OFFICE,Barawakumbuka
20967,POST_OFFICE,Barawardhanaoya
20154,POST_OFFICE,Batagolladeniya
80320,POST_OFFICE,Batapola
70504,POST_OFFICE,Batatota
10513,POST_OFFICE,Batawala
10120,POST_OFFICE,Battaramulla
30000,POST_OFFICE,Batticaloa
61246,POST_OFFICE,Battuluoya
10526,POST_OFFICE,Batugampola
20132,POST_OFFICE,Batugoda
20966,POST_OFFICE,Batumulla
11011,POST_OFFICE,Batuwatta
71321,POST_OFFICE,Batuwita
20218,POST_OFFICE,Bawlana
82400,POST_OFFICE,Beliatta
71044,POST_OFFICE,Beligala
21214,POST_OFFICE,Beligamuwa
70140,POST_OFFICE,Belihuloya
12224,POST_OFFICE,Bellana
11040,POST_OFFICE,Bemmulla
81614,POST_OFFICE,Bengamuwa
80500,POST_OFFICE,Bentota
82102,POST_OFFICE,Beragama
81541,POST_OFFICE,Beralapanathara
82618,POST_OFFICE,Beralihela
90066,POST_OFFICE,Beramada
71706,POST_OFFICE,Berannawa
12070,POST_OFFICE,Beruwala
91500,POST_OFFICE,Bibila
90502,POST_OFFICE,Bibilegama
60450,POST_OFFICE,Bingiriya
11650,POST_OFFICE,Biyagama
11672,POST_OFFICE,Biyagama EPZ
90354,POST_OFFICE,Bogahakumbura
91074,POST_OFFICE,Bogahapelassa
50566,POST_OFFICE,Bogahawewa
60107,POST_OFFICE,Bogamulla
43583,POST_OFFICE,Bogaswewa
22060,POST_OFFICE,Bogawantalawa
11216,POST_OFFICE,Bokalagama
20093,POST_OFFICE,Bokkawela
11024,POST_OFFICE,Bollete
12008,POST_OFFICE,Bolossagama
70131,POST_OFFICE,Bolthumbe
12024,POST_OFFICE,Bombuwala
80270,POST_OFFICE,Boossa
11134,POST_OFFICE,Bopagama
81412,POST_OFFICE,Bopagoda
20932,POST_OFFICE,Bopana
22095,POST_OFFICE,Bopattalawa
10522,POST_OFFICE,Bope
60155,POST_OFFICE,Bopitiya
71612,POST_OFFICE,Bopitiya
90362,POST_OFFICE,Boragas
90170,POST_OFFICE,Boralanda
71418,POST_OFFICE,Boralankada
10290,POST_OFFICE,Boralesgamuwa
61152,POST_OFFICE,Boralessa
12142,POST_OFFICE,Boralugoda
70344,POST_OFFICE,Boraluwageaina
60437,POST_OFFICE,Boraluwewa
32073,POST_OFFICE,Borapola
00800,POST_OFFICE,Borella
71208,POST_OFFICE,Bossella
12307,POST_OFFICE,Botalegama
82458,POST_OFFICE,Bowalagama
90302,POST_OFFICE,Bowela
60027,POST_OFFICE,Boyagane
91038,POST_OFFICE,Buddama
61136,POST_OFFICE,Bujjampola
60291,POST_OFFICE,Bujjomuwa
71230,POST_OFFICE,Bulathkohupitiya
12300,POST_OFFICE,Bulathsinhala
70346,POST_OFFICE,Bulutota
60076,POST_OFFICE,Buluwala
82002,POST_OFFICE,Bundala
11720,POST_OFFICE,Buthpitiya
91100,POST_OFFICE,Buttala
32050,POST_OFFICE,Central Camp
40212,POST_OFFICE,Chankanai
40500,POST_OFFICE,Chavakachcheri
32306,POST_OFFICE,Chavalakadai
43120,POST_OFFICE,Cheddikulam
30194,POST_OFFICE,Cheddipalayam
43060,POST_OFFICE,Chemamadukkulam
30350,POST_OFFICE,Chenkaladi
41140,POST_OFFICE,Chilavathurai
61000,POST_OFFICE,Chilaw
31050,POST_OFFICE,Chinabay
40230,POST_OFFICE,Chulipuram
40075,POST_OFFICE,Chunnakam
32046,POST_OFFICE,Dadayamtalawa
11524,POST_OFFICE,Dagonna
51092,POST_OFFICE,Dalukana
32014,POST_OFFICE,Damana
